,Avalon,Cats2d,ECFP2,ECFP4,ECFP6,MACCs,Map4,Mol2vec,Mordred,Ph4_gobbi,Pubchem,RDK5,RDK6,RDK7,RDKdes,Secfp
Avalon,1.0,0.00011581182479858398,0.04278993979096413,1.0,0.31851173751056194,0.020912662148475647,1.0,1.0,1.0,1.0,0.01715964265167713,1.0,1.0,1.0,1.0,1.0
Cats2d,0.00011581182479858398,1.0,1.0,0.1584405731409788,0.19413455948233604,1.0,0.07260867953300476,0.6025805063545704,0.039747683331370354,0.015592843294143677,0.5333592183887959,0.0002289842814207077,1.9505620002746582e-05,1.564621925354004e-05,0.16767511330544949,0.003323979675769806
ECFP2,0.04278993979096413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000499676913022995,6.690435111522675e-05,0.0004321150481700897,1.0,1.0
ECFP4,1.0,0.1584405731409788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41985683888196945,0.03380589932203293,0.12680049799382687,1.0,1.0
ECFP6,0.31851173751056194,0.19413455948233604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07260867953300476,0.03380589932203293,0.004138350486755371,1.0,1.0
MACCs,0.020912662148475647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7736730463802814,1.0,1.0,0.0011670589447021484,0.0010234303772449493,5.560740828514099e-05,1.0,1.0
Map4,1.0,0.07260867953300476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9111950509250164,0.08470792323350906,0.41985683888196945,1.0,1.0
Mol2vec,1.0,0.6025805063545704,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.039747683331370354,0.03648895025253296,0.00814797356724739,1.0,1.0
Mordred,1.0,0.039747683331370354,1.0,1.0,1.0,0.7736730463802814,1.0,1.0,1.0,1.0,1.0,0.7736730463802814,0.003729410469532013,0.1584405731409788,1.0,1.0
Ph4_gobbi,1.0,0.015592843294143677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29955461621284485,0.004138350486755371,0.0613228902220726,1.0,1.0
Pubchem,0.01715964265167713,0.5333592183887959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005167156457901001,0.000499676913022995,0.003729410469532013,1.0,1.0
RDK5,1.0,0.0002289842814207077,0.000499676913022995,0.41985683888196945,0.07260867953300476,0.0011670589447021484,0.9111950509250164,0.039747683331370354,0.7736730463802814,0.29955461621284485,0.005167156457901001,1.0,1.0,1.0,0.24194708839058876,1.0
RDK6,1.0,1.9505620002746582e-05,6.690435111522675e-05,0.03380589932203293,0.03380589932203293,0.0010234303772449493,0.08470792323350906,0.03648895025253296,0.003729410469532013,0.004138350486755371,0.000499676913022995,1.0,1.0,1.0,0.020912662148475647,0.12680049799382687
RDK7,1.0,1.564621925354004e-05,0.0004321150481700897,0.12680049799382687,0.004138350486755371,5.560740828514099e-05,0.41985683888196945,0.00814797356724739,0.1584405731409788,0.0613228902220726,0.003729410469532013,1.0,1.0,1.0,0.09956799447536469,0.43901345878839493
RDKdes,1.0,0.16767511330544949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24194708839058876,0.020912662148475647,0.09956799447536469,1.0,1.0
Secfp,1.0,0.003323979675769806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12680049799382687,0.43901345878839493,1.0,1.0
